AVL,RB,B ONE,B FIVE,B TEN
57973,46,102,79,69
59144,43,116,83,79
60773,47,114,75,72
58859,46,112,80,74
60304,48,111,71,73
58936,45,110,74,77
59868,44,113,79,75
59840,48,111,76,72
60496,45,111,77,73
60493,49,109,80,66
59587,49,112,75,76
61627,47,110,71,79
60379,49,109,80,78
61107,48,108,81,70
57328,45,114,75,74
59640,48,106,72,71
59488,48,113,74,70
56441,50,114,76,77
58731,49,111,74,74
58456,47,113,75,68
59326,48,112,75,74
59276,52,107,73,70
59860,44,104,79,73
60572,46,108,75,75
60607,49,108,73,77
58285,49,113,72,77
61392,46,102,76,73
59642,45,108,73,72
61037,50,107,72,70
58837,49,110,76,71
60834,45,108,77,71
61498,48,111,73,73
59978,46,108,81,74
58469,52,103,76,73
57943,43,108,73,72
60646,46,110,80,67
60781,45,111,72,73
59124,46,110,74,70
60726,45,111,75,84
59937,47,107,72,68
61157,45,108,73,75
59134,44,117,74,71
60000,49,104,72,70
59074,46,114,76,73
61385,42,110,77,70
59068,48,112,79,75
57038,46,109,75,70
59615,50,109,72,72
59496,49,111,74,76
58203,44,106,73,72
58880,47,113,73,83
61271,50,111,70,73
58070,44,113,73,72
57739,47,109,82,71
60074,49,111,75,70
61125,49,108,77,75
58085,49,101,75,70
61577,48,111,71,69
57915,45,109,78,72
59418,47,110,72,73
59867,48,118,77,76
58053,50,104,80,73
58658,48,109,73,74
59695,42,106,83,71
58180,51,103,76,74
59936,47,108,78,72
60099,47,108,79,70
58878,49,109,72,73
58843,44,119,74,70
58865,45,105,75,77
58894,46,106,75,77
60002,46,111,77,79
57170,44,107,69,75
59816,45,113,78,71
58163,48,109,78,74
60756,47,113,75,73
60282,46,103,79,65
60553,48,107,74,69
60554,45,108,74,72
58432,47,111,81,70
59037,49,109,79,73
58152,53,110,74,71
59465,48,107,71,76
59294,50,100,72,67
61368,47,109,75,73
58623,47,106,79,74
60276,47,112,76,71
58765,50,114,74,67
57560,45,112,76,74
60105,48,111,79,71
60043,49,106,73,67
56569,50,111,70,77
58243,44,109,71,69
57005,44,108,73,77
59110,51,112,76,75
59748,51,116,74,73
58542,46,108,80,71
58221,47,109,74,76
59783,44,113,76,73
58072,44,108,72,69
60754,45,109,75,68
59765,44,106,76,76
56932,45,104,74,76
57266,43,113,74,70
58974,46,106,75,72
60353,49,111,73,75
57721,49,112,78,72
57556,46,107,75,67
59622,49,109,79,74
59086,48,102,73,70
59466,46,110,77,72
60040,46,112,75,77
60147,44,113,78,70
57455,47,105,78,71
57659,49,102,74,74
57113,47,109,78,68
59321,46,115,76,76
57011,53,109,72,70
60358,49,109,77,71
59403,50,107,78,69
58110,45,104,72,72
58033,48,103,74,74
58931,49,106,68,71
57367,47,105,74,80
58403,46,106,68,68
59681,47,113,78,69
57538,48,107,71,75
60300,49,108,80,70
56734,45,109,73,73
58122,49,112,72,74
57721,47,103,73,72
58231,50,117,76,70
55165,51,112,70,70
57834,49,104,71,71
57386,45,111,72,73
56968,47,102,75,69
59252,49,104,75,74
59498,48,107,76,72
58993,49,103,71,72
58900,45,104,79,73
58100,52,107,74,73
55990,50,107,79,74
58333,45,118,75,71
58674,47,109,79,70
59376,45,113,76,73
57315,44,105,78,72
58033,44,104,77,74
55804,46,112,73,72
61278,46,100,79,71
57581,50,105,70,69
55849,47,103,70,74
60068,48,117,71,74
57925,48,112,75,73
58715,47,106,73,78
60981,52,109,73,68
57378,47,101,76,69
59717,46,102,76,73
56199,47,118,73,73
57128,46,105,78,72
59517,49,107,78,78
58077,47,109,80,71
58829,42,109,73,73
59498,51,100,73,73
58414,50,103,79,68
60470,46,112,77,67
58815,48,107,72,73
58728,46,110,72,70
58526,50,105,75,69
59034,47,112,80,71
55168,46,103,73,75
59290,48,111,73,78
57419,52,106,70,66
56863,51,110,76,74
57729,53,105,75,71
56701,46,105,73,72
57699,50,111,72,66
57718,47,103,70,73
58702,48,107,73,76
55772,52,103,73,70
58802,49,105,79,75
57525,49,101,70,71
57556,49,108,75,76
60046,42,105,76,77
59245,43,109,78,70
59010,47,107,70,73
57756,44,107,78,72
58743,46,112,81,70
59041,48,106,77,74
58875,49,108,79,76
58982,48,105,75,69
58288,48,110,79,75
58554,47,112,79,76
57889,48,110,79,74
59294,50,98,76,69
57800,49,113,75,70
56886,48,109,72,72
57070,47,109,73,73
57136,51,119,81,71
58096,53,107,77,68
58217,51,111,74,72
57284,47,103,76,73
60627,45,107,73,71
58317,49,102,76,70
57372,53,104,83,71
60971,48,116,71,74
59810,46,105,74,71
59135,47,102,73,69
59154,48,106,72,73
59279,47,109,70,73
56820,50,104,77,68
58387,48,114,76,77
58320,45,116,75,72
57187,44,107,77,74
56565,49,103,75,70
55552,46,104,77,69
55693,49,111,77,78
56033,47,112,83,73
58481,47,111,72,82
56051,46,107,76,67
56402,47,112,71,70
57787,47,113,74,67
57017,47,109,76,68
57033,45,107,77,74
60344,49,112,78,72
58615,51,107,70,70
57332,46,102,79,72
58469,50,104,77,71
56020,51,109,80,77
59302,49,109,73,71
55181,47,105,73,68
61014,48,107,73,75
55366,47,110,77,71
56229,48,103,69,77
57156,47,115,74,74
58710,47,112,77,71
56074,47,105,75,72
57442,46,110,75,75
57803,45,103,72,74
57095,49,112,76,69
56099,49,104,74,73
59248,46,111,75,76
57522,50,106,74,70
60775,51,115,76,71
57703,47,111,78,75
56114,49,105,69,78
57353,47,105,79,68
58563,50,112,75,74
56908,44,108,75,77
55677,50,101,76,76
58104,49,100,75,72
59151,50,119,72,71
55993,47,102,77,71
57078,44,101,82,72
57872,46,113,71,74
58905,47,111,72,70
55936,50,108,79,72
58570,45,111,74,72
56096,45,111,73,73
58111,47,105,75,79
56729,49,108,76,73
57156,50,110,72,69
58156,47,109,76,78
56220,54,106,72,70
54825,52,103,84,68
57193,49,105,74,71
60456,46,113,77,67
59343,49,108,77,71
58830,48,107,72,71
57059,44,105,77,75
58709,48,111,72,71
55692,48,106,76,71
54569,45,109,74,71
54514,47,106,74,72
56757,48,109,72,76
58919,49,102,70,74
58408,46,100,76,71
58498,47,109,75,67
60297,49,110,73,72
55955,49,105,76,72
59710,48,109,75,72
58528,45,113,70,71
57854,48,110,73,83
55302,46,104,73,70
56681,48,106,75,76
57365,44,104,75,68
57505,47,110,72,76
58859,50,105,75,74
57344,46,112,75,74
57185,47,103,74,67
57479,47,112,78,84
56786,48,108,74,74
57914,47,107,71,74
57824,52,104,75,69
57236,46,120,71,67
57317,43,108,73,75
57126,50,116,82,75
57056,47,102,71,78
57323,50,114,73,76
57825,47,113,71,71
57562,45,108,75,73
57409,46,111,74,77
59092,51,107,74,80
59744,47,102,74,71
56352,49,105,75,77
56277,49,114,76,76
58871,50,104,77,70
57864,47,105,76,70
55977,50,103,72,72
59256,49,111,72,73
58656,49,102,76,71
56257,48,108,70,80
59520,47,103,78,73
55006,49,107,79,72
55444,51,101,72,73
57901,49,103,72,74
56749,48,109,80,68
55448,51,110,77,74
58792,47,107,78,72
56535,46,106,69,72
55828,45,113,77,72
58411,49,101,74,68
59293,49,101,71,73
55614,48,107,72,78
55469,43,109,76,70
56827,52,112,74,75
56421,50,108,72,73
57300,48,109,76,71
58016,48,106,74,68
59238,51,107,75,68
57210,51,114,74,70
55815,47,106,75,73
58668,51,112,75,78
57190,50,106,70,67
59070,48,106,75,78
56164,54,102,69,67
56593,53,105,76,69
56363,48,105,68,75
57214,43,104,74,71
57393,49,108,85,76
58719,45,111,72,71
57364,49,114,80,80
59317,48,101,75,71
58904,51,104,75,78
54977,48,108,79,76
56612,50,103,72,76
55004,49,108,71,78
55822,48,115,71,75
57709,51,106,73,71
56680,49,104,77,69
56158,44,101,77,75
55821,48,108,81,74
55752,48,111,71,76
59243,50,107,77,76
57326,46,104,77,78
59444,47,108,76,74
57619,47,108,80,78
57930,52,108,74,70
55686,49,108,78,75
56810,46,111,77,77
57523,47,111,77,70
56981,52,107,74,79
57311,47,116,83,74
57420,49,104,79,74
57921,45,116,77,69
56481,49,112,76,75
54182,47,114,76,79
56840,47,103,72,74
57690,49,111,78,68
56821,49,104,82,68
56576,47,108,76,69
57763,48,116,77,72
57640,50,107,71,71
54074,51,106,73,72
56300,44,103,79,72
55459,50,116,80,71
56288,46,111,76,72
58286,50,105,75,71
55732,44,111,74,69
56815,47,111,76,75
55676,48,105,72,72
56476,48,110,75,75
57046,51,109,77,75
58976,48,103,74,80
54834,51,108,76,71
58295,49,110,81,77
57123,48,103,74,77
57108,47,114,79,74
56898,47,110,79,73
60024,49,107,73,80
55301,43,110,71,71
54495,47,101,72,76
57401,47,99,71,66
56472,51,109,77,75
55722,49,108,79,71
55372,48,105,75,84
58838,49,114,75,76
56435,51,109,71,76
57200,46,113,77,68
58478,49,113,74,74
57869,54,107,74,67
59069,49,104,76,73
55986,48,113,78,82
54133,51,113,71,73
54753,47,113,76,74
54507,48,105,70,76
54729,49,105,71,66
55108,49,103,77,74
55097,49,105,73,71
55154,48,104,70,75
56185,47,114,73,71
56500,50,109,74,74
56212,48,114,78,72
57467,47,104,75,74
55003,46,105,70,75
55031,47,110,73,75
56986,52,107,73,74
55775,49,113,72,71
57316,49,106,78,75
55235,49,102,73,72
56820,52,106,74,75
55248,49,114,75,72
56598,50,110,80,70
55957,50,108,75,69
58605,49,107,72,71
55509,45,109,72,69
57158,47,100,77,72
56678,50,107,71,77
55811,50,107,76,74
55483,47,105,72,72
57158,51,107,76,74
59179,51,110,74,70
56981,53,107,77,71
57121,45,114,76,76
57672,48,102,79,79
52667,54,108,72,70
55750,49,105,75,78
56599,48,113,81,68
54593,49,103,74,74
56869,54,115,71,71
56686,51,114,73,71
56831,50,99,69,65
55826,50,103,74,80
58380,53,110,72,68
54866,46,106,77,73
55125,47,111,75,74
56574,46,100,70,73
57722,50,110,75,70
56113,48,107,73,68
57176,48,105,78,70
58132,46,111,75,71
56460,51,105,73,73
53478,47,112,73,72
56080,54,98,75,70
57355,50,112,69,72
56577,45,111,71,71
57400,47,106,77,71
54543,50,115,74,74
56598,50,105,77,68
57459,52,111,76,79
54334,44,102,75,79
58434,50,109,72,80
55240,48,104,71,70
56929,49,102,72,78
54595,47,101,68,68
53896,49,103,77,81
55895,51,106,73,67
54112,48,113,72,73
55689,51,106,74,72
53900,50,111,74,74
58569,47,109,71,69
55807,46,102,72,73
56234,50,118,77,74
53538,47,108,72,79
54748,46,113,74,73
56462,49,106,75,72
54860,51,109,72,67
55574,49,105,74,76
55713,53,110,75,71
57668,49,101,71,75
55707,45,110,74,70
56533,45,107,82,68
53732,49,111,77,72
56649,49,109,76,72
57034,45,108,77,73
57046,45,105,74,76
54042,47,109,76,77
54881,51,111,74,74
56202,47,112,74,74
57159,53,109,79,73
55281,47,101,73,66
55335,50,107,73,70
55703,52,108,79,79
54241,49,111,78,72
55758,49,99,77,70
54420,50,107,77,82
56126,49,111,75,74
55614,50,106,70,71
54865,49,106,74,73
56138,50,102,72,73
55594,54,109,77,77
57044,49,112,76,77
55581,48,113,79,68
56182,49,111,73,75
54347,50,104,71,76
57120,48,106,79,71
54092,50,100,77,72
53857,46,105,75,74
58125,51,106,74,73
54657,47,111,84,74
57125,49,110,75,72
56797,53,116,77,70
55720,48,115,72,72
57125,50,112,75,72
56530,50,103,76,75
56786,52,105,76,75
55103,47,101,77,72
53209,50,111,76,75
55292,50,112,72,73
54595,45,100,75,71
53004,51,103,79,73
56560,48,104,78,69
57958,50,108,73,77
54784,50,102,74,72
55054,54,104,76,71
54330,46,102,73,75
56235,49,95,81,67
53350,47,103,74,73
53798,47,102,71,70
56387,50,116,79,70
54829,51,108,77,70
53759,48,104,73,69
56251,47,110,74,77
53723,46,108,82,73
55729,48,109,75,66
54704,47,113,78,76
55641,50,108,75,76
55044,49,109,77,73
54092,51,104,76,71
52623,49,104,66,66
55546,48,118,75,70
55706,45,109,79,70
53995,50,105,80,73
55583,49,112,74,71
53507,46,108,78,74
55553,49,112,79,73
56908,49,103,77,70
57046,48,102,77,69
55656,44,118,80,72
56262,47,105,75,76
54040,47,113,76,68
57689,52,101,77,72
53072,47,124,80,82
54883,52,112,69,73
55062,51,103,82,73
55512,49,103,76,72
56214,51,105,75,71
52664,49,112,76,76
55669,51,105,75,71
54934,53,111,76,71
53157,50,100,81,77
53937,49,101,72,71
54995,48,110,72,72
54836,48,104,76,72
55916,50,107,75,67
53890,53,113,73,70
54668,50,106,77,75
56463,49,119,75,70
56862,47,98,73,75
55826,48,99,70,69
57719,48,107,76,71
53722,52,106,76,75
54618,45,105,72,74
53654,47,100,76,74
53059,52,102,79,75
55810,46,103,73,77
51790,51,104,71,71
56424,48,107,73,69
55448,48,108,71,70
54490,51,107,82,74
54653,51,110,73,78
54693,52,100,73,76
55438,48,100,72,70
54637,48,107,72,70
55891,49,108,74,71
56340,49,101,75,77
56239,51,118,75,72
53950,50,104,73,74
56310,48,105,79,72
56189,50,110,75,67
54313,51,108,78,74
55641,48,108,74,67
55386,45,111,75,74
54720,48,100,74,71
52318,52,106,72,76
54724,45,98,77,75
55074,50,109,77,74
52818,47,104,74,70
55246,46,118,74,65
53651,44,102,74,75
52285,50,109,75,79
51360,50,108,74,71
53869,51,111,71,73
53580,53,107,72,73
52654,48,102,77,68
53974,50,103,74,75
54162,50,109,75,76
55312,51,114,75,70
55727,54,106,74,71
53080,51,115,72,72
55820,47,105,73,71
53226,51,106,76,72
55304,47,100,69,73
56723,53,106,80,75
56877,55,111,71,79
55601,53,105,74,71
55240,50,100,80,72
54338,50,105,76,72
55692,48,103,70,71
53304,47,109,73,71
53890,50,106,70,76
56127,46,102,73,72
56687,48,109,76,72
55665,46,104,76,75
53637,50,115,73,72
54243,50,109,80,73
52408,50,111,75,74
53883,55,109,75,72
54188,52,104,70,75
55461,48,106,79,77
54858,48,106,74,75
55934,49,112,78,72
53396,49,112,77,78
54228,52,100,68,69
54619,49,104,77,76
54791,47,107,79,66
55532,51,112,75,70
53412,44,107,79,72
54808,48,107,73,75
55836,49,109,78,71
53448,52,114,74,74
55846,52,110,72,65
54079,48,102,77,73
54209,47,108,74,72
54902,51,108,78,78
54139,49,113,75,71
52920,47,99,71,71
53709,48,106,72,77
54285,45,109,75,74
55643,48,104,72,74
52974,53,111,76,74
57075,48,102,70,73
56486,50,112,76,73
54662,51,109,73,73
55198,45,102,74,70
55617,55,112,71,77
55746,49,113,74,75
52245,49,103,75,74
54640,48,109,75,70
54220,51,112,71,66
53600,49,104,72,75
54917,50,102,69,71
56231,51,101,76,68
57094,53,109,76,75
53805,52,104,73,74
54664,49,105,81,80
57088,48,109,73,73
54084,52,111,77,79
52997,47,110,73,72
53878,50,107,77,73
57574,46,106,72,72
52905,52,103,72,80
55150,49,102,73,70
53151,48,107,76,75
53272,51,100,74,77
53319,49,106,75,70
51944,54,101,73,72
55376,45,105,77,74
53995,53,105,76,72
54703,48,108,74,77
52955,48,107,74,75
56425,48,104,73,74
52016,48,108,80,75
53286,47,110,74,75
54409,45,107,77,78
54878,49,109,72,74
55839,50,110,76,78
52720,49,105,76,64
51975,48,101,72,74
55791,50,108,77,70
54768,45,100,75,74
53606,45,102,74,68
53481,49,109,75,73
54192,52,101,73,72
51428,45,111,74,76
54577,54,100,77,76
53119,46,111,83,75
54788,50,104,77,70
55051,47,102,82,79
53768,50,110,74,77
53664,47,110,71,74
53724,48,99,73,70
54542,49,106,74,68
54919,52,108,73,74
52922,49,110,77,73
54456,50,110,70,68
52878,49,116,74,72
54183,51,113,76,72
54516,48,103,74,72
50630,51,114,79,69
54804,49,104,79,70
55594,48,109,74,70
55439,46,108,78,71
54775,49,99,72,70
53738,48,103,76,73
54194,47,108,70,74
53627,45,103,75,68
55126,45,107,80,71
53215,49,101,80,73
55855,49,102,71,72
53710,48,105,81,67
53540,47,106,74,69
53571,51,112,74,74
54022,49,99,72,70
51127,47,110,71,73
51989,51,106,73,75
51355,52,104,71,72
54070,49,101,76,71
54660,48,106,75,72
53432,47,103,78,74
53023,48,103,82,72
54877,46,101,77,72
53627,47,101,74,77
52417,48,102,74,71
52400,47,101,75,71
51883,47,105,78,78
54305,53,104,71,76
56149,47,106,76,77
53379,50,106,72,76
52291,50,103,74,69
53691,45,105,73,69
52976,48,103,72,72
55333,50,109,73,74
52344,46,102,77,81
55965,46,105,76,66
55143,49,98,75,77
56625,45,108,75,78
55621,49,101,75,74
54017,48,107,75,70
52855,48,99,73,72
52852,50,104,69,79
53132,46,106,79,79
51768,48,107,70,76
52011,50,104,71,71
54342,48,111,73,74
53518,47,101,75,78
52986,47,106,75,74
51936,46,109,74,73
51048,52,104,77,72
53548,55,107,81,75
55050,53,105,74,67
52822,51,103,73,69
54342,46,100,72,68
56740,50,103,77,74
54466,50,102,70,77
54356,49,108,74,71
50407,49,109,75,74
53303,49,103,73,74
55487,51,106,76,70
52627,50,118,74,76
52670,51,110,75,67
50075,47,103,74,73
52074,48,100,77,70
55606,49,106,76,76
54580,51,99,71,69
54778,54,107,74,71
54530,50,100,76,75
53552,55,107,68,76
55196,48,107,70,75
55890,48,111,72,71
53494,50,93,73,70
52695,51,104,78,71
51334,50,110,81,82
51968,50,103,70,73
52178,50,111,72,71
54322,49,103,72,71
54713,49,107,75,78
55682,48,105,79,73
54953,53,109,76,78
52223,47,106,69,70
52751,47,107,75,75
53116,50,100,74,71
53406,48,120,73,76
54739,50,109,79,75
53199,48,103,76,72
51733,45,107,74,73
53898,48,103,75,73
53537,47,105,76,71
51889,50,105,70,76
51788,49,109,74,74
52928,48,104,75,75
52582,49,108,74,79
51723,47,108,70,75
50576,47,111,78,74
53810,47,108,76,74
53996,49,106,78,77
55205,55,98,71,70
54296,53,115,75,85
53187,53,111,75,78
53623,48,100,78,76
51795,48,112,74,73
54535,47,104,77,72
51919,46,105,76,72
55132,50,107,77,76
54108,50,106,72,72
52694,53,103,75,76
54768,51,106,73,73
51641,51,106,73,78
54287,48,99,74,79
51130,49,105,77,69
54154,53,107,76,79
53430,45,114,72,75
54317,48,106,77,70
53059,51,108,75,76
54529,48,100,78,70
53778,50,105,78,78
53830,52,110,71,76
52999,50,107,74,68
51854,47,108,75,72
52058,49,112,77,75
52090,46,112,79,67
52664,48,103,72,72
52870,50,102,72,73
51472,47,103,83,68
52412,46,104,75,74
54313,50,109,70,73
50869,46,102,76,70
52560,46,115,74,74
52858,49,97,71,73
52158,52,105,78,77
53605,48,100,72,78
53006,46,100,82,78
54004,54,107,73,76
54734,48,104,79,72
53367,48,106,72,73
54420,46,106,77,76
53821,49,107,75,69
52728,48,100,79,76
54599,45,111,78,73
53398,48,106,75,72
54186,47,105,72,73
52204,49,102,73,67
53406,50,100,71,73
54895,50,97,79,74
53308,47,101,78,76
53819,48,107,78,76
51711,49,98,70,67
52945,49,103,74,77
53621,48,102,76,82
52890,50,106,75,74
51420,46,105,72,69
52269,49,102,73,70
53069,50,96,72,76
55477,48,101,82,72
52356,49,104,74,69
51475,48,103,76,68
50619,48,105,76,75
51949,49,104,75,75
52022,50,106,75,74
51580,50,105,74,69
53216,48,106,78,74
52594,48,111,75,75
52704,49,101,73,74
53832,47,114,72,77
53287,48,110,76,72
52863,48,98,71,79
50429,48,114,74,78
52593,47,102,73,76
51734,50,108,78,76
50625,52,113,76,72
55389,50,105,81,78
53378,53,101,71,68
51319,47,100,79,68
50546,51,103,75,68
52066,52,113,76,70
52705,50,107,74,78
53901,52,101,77,77
53665,48,109,74,82
52237,50,105,72,74
54514,48,105,73,74
52448,50,109,79,73
51606,51,104,72,67
52046,50,96,75,71
52345,49,107,77,79
51954,46,104,74,73
53284,45,108,76,77
51486,51,109,73,76
52066,50,101,77,86
51780,50,104,77,74
52811,50,96,70,69
49966,47,101,74,73
52262,46,109,74,72
53256,50,104,76,78
51587,52,103,72,70
51249,45,103,74,69
53894,54,105,73,77
51788,51,95,73,74
52232,50,106,71,76
51215,52,111,77,74
51581,50,108,75,72
53228,50,112,84,72
52178,52,106,75,71
55207,52,97,74,71
50368,49,103,76,73
51161,47,109,77,75
51005,50,107,74,80
51899,52,101,72,73
51701,47,108,77,82
53537,51,106,80,71
54257,46,102,72,70
51270,52,107,80,70
52083,49,100,75,75
52998,53,98,74,65
52181,50,102,72,76
50857,47,102,75,70
51414,51,102,70,69
54272,51,105,77,74
52680,46,102,73,75
52782,49,103,78,70
53664,54,102,73,77
53715,55,106,75,75
51360,46,99,66,72
52835,49,104,74,71
52937,50,109,78,67
52120,49,100,78,70
53327,48,98,75,81
51892,47,105,77,75
49452,48,107,75,73
53034,51,103,74,72
50932,49,104,73,80
51782,50,97,75,74
51693,50,101,68,71
51108,51,105,78,78
51596,49,105,72,69
53449,53,106,75,72
51878,48,102,76,74
52212,47,103,77,72
49602,45,106,74,68
52830,51,107,68,70
52696,50,105,76,77
51307,51,98,73,76
53127,51,112,73,71
50810,48,110,77,74
52417,52,97,73,79
53466,49,106,75,78
52387,49,110,74,67
52928,50,106,80,72
52210,47,101,74,75
51030,51,103,73,72
51800,51,108,73,77
50769,50,104,74,73
52989,52,107,78,81
51460,50,107,74,72
51268,51,108,71,72
49807,49,101,84,75
52363,52,108,74,77
50957,50,103,78,73
52287,51,110,79,73
50954,47,116,80,82
52062,45,105,79,74
48856,48,109,78,74
53024,52,105,72,71
50298,48,102,77,73
51556,50,104,74,78
52956,49,95,74,77
50575,48,112,76,70
53467,48,101,75,74
51306,48,109,80,71
48547,47,105,75,71
53116,47,103,79,72
51536,47,108,76,68
50181,48,106,73,73
52107,50,100,74,78
52479,50,103,75,75
53514,48,104,76,74
51252,48,101,77,79
51437,48,99,75,69
51744,48,103,73,73
53099,48,109,72,71
53369,50,107,71,79
51114,53,108,76,66
51783,49,106,74,72
51361,46,113,76,68
52251,50,109,79,75
51746,49,105,74,66
52576,49,105,76,68
50815,47,101,77,78
54442,48,108,74,70
51705,48,103,72,68
53274,49,105,76,75
53086,49,110,73,74
50382,48,106,75,81
51175,52,107,79,78
49797,50,109,74,68
54604,48,106,73,78
54779,52,101,73,76
51865,49,110,73,74
51416,51,103,73,73
51204,53,103,74,72
50986,47,102,79,69
48702,49,107,79,74
50662,48,103,74,69
50723,49,104,75,73
49422,49,109,74,74
50228,47,108,80,71
52163,48,102,76,77
51454,49,112,76,68
52097,47,105,78,76
53451,47,103,77,75
50668,48,107,76,75
51436,47,109,75,72
52883,51,104,74,77
54287,49,104,72,71
51061,48,108,77,69
50622,45,110,72,74
49866,50,104,75,74
49353,55,99,77,68
50922,49,111,73,76
53206,55,101,74,75
51303,53,97,72,69
51601,49,106,78,78
51667,49,98,73,78
51473,49,103,74,76
50240,50,97,75,74
52949,44,103,76,70
51777,47,104,74,78
51665,49,106,75,73
51110,54,103,74,67
53127,53,102,75,72
52388,48,100,75,67
53803,50,106,74,74
52663,48,115,74,76
50465,49,100,76,68
49952,49,101,80,71
51951,50,104,69,69
53578,49,100,70,74
52456,49,103,73,78
49815,48,104,73,72
50238,47,107,77,75
50403,47,113,73,72
50343,53,114,71,75
50833,50,106,78,73
49515,46,108,78,78
51475,50,106,75,73
52433,47,108,80,72
50734,47,104,74,78
51382,49,106,76,75
50544,47,107,75,73
52309,47,107,70,83
50788,46,99,71,72
50057,53,106,69,75
52433,45,93,71,80
53327,49,102,70,73
53442,51,109,78,70
50654,49,113,76,81
50247,50,106,74,73
49775,51,113,75,67
